"REF_DATE","GEO","DGUID","Age group","Sex","Element","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2020","Canada","2016A000011124","0 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300144473","1.1.1.3","0.00433","","","","5"
"2020","Canada","2016A000011124","1 year","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300144500","1.2.1.3","0.00022","","","","5"
"2020","Canada","2016A000011124","2 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300144527","1.3.1.3","0.00017","","","","5"
"2020","Canada","2016A000011124","3 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300144554","1.4.1.3","0.00013","","","","5"
"2020","Canada","2016A000011124","4 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300144581","1.5.1.3","0.00010","","","","5"
"2020","Canada","2016A000011124","5 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300144608","1.6.1.3","0.00009","","","","5"
"2020","Canada","2016A000011124","6 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300144635","1.7.1.3","0.00008","","","","5"
"2020","Canada","2016A000011124","7 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300144662","1.8.1.3","0.00007","","","","5"
"2020","Canada","2016A000011124","8 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300144689","1.9.1.3","0.00007","","","","5"
"2020","Canada","2016A000011124","9 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300144716","1.10.1.3","0.00007","","","","5"
"2020","Canada","2016A000011124","10 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300144743","1.11.1.3","0.00007","","","","5"
"2020","Canada","2016A000011124","11 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300144770","1.12.1.3","0.00008","","","","5"
"2020","Canada","2016A000011124","12 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300144797","1.13.1.3","0.00009","","","","5"
"2020","Canada","2016A000011124","13 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300144824","1.14.1.3","0.00012","","","","5"
"2020","Canada","2016A000011124","14 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300144851","1.15.1.3","0.00015","","","","5"
"2020","Canada","2016A000011124","15 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300144878","1.16.1.3","0.00020","","","","5"
"2020","Canada","2016A000011124","16 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300144905","1.17.1.3","0.00028","","","","5"
"2020","Canada","2016A000011124","17 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300144932","1.18.1.3","0.00035","","","","5"
"2020","Canada","2016A000011124","18 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300144959","1.19.1.3","0.00041","","","","5"
"2020","Canada","2016A000011124","19 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300144986","1.20.1.3","0.00047","","","","5"
"2020","Canada","2016A000011124","20 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300145013","1.21.1.3","0.00052","","","","5"
"2020","Canada","2016A000011124","21 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300145040","1.22.1.3","0.00058","","","","5"
"2020","Canada","2016A000011124","22 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300145067","1.23.1.3","0.00063","","","","5"
"2020","Canada","2016A000011124","23 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300145094","1.24.1.3","0.00068","","","","5"
